职位名称,名称,地点,分类,时间,工作内容
28603-微信支付数据平台前端开发工程师,WXG ," 深圳,中国 ", 技术 ,2021/10/2,"负责数据门户的web前端页面开发，优化页面性能，改善用户体验；
并根据产品和业务需求提供的合适技术实现方案。"
28603-微信支付反欺诈策略高级工程师（深圳）,WXG ," 深圳,中国 ", 技术 ,2021/10/2,"1. 深入理解支付业务，针对支付环节中欺诈、赌博等异常行为，洞察黑产的作案手法跟行为规律，并制定有效的风控策略实施打击；
2. 基于微信支付海量的用户、商户以及社交、支付关系数据，构建全面丰富的黑产画像和异常标签，提升打击策略效果；
3. 建设高效的分析工具和审计模型，搭建数据指标和监控体系，及时快速的掌握黑产动向；
4. 基于业务理解和数据分析，推动与周边团队的深入合作，完善整体的打击框架，净化支付生态。"
28603-微信支付数据挖掘工程师（深圳）,WXG ," 深圳,中国 ", 技术 ,2021/10/2,"负责微信支付运营活动、优惠券、积分商城、用户增长、行业运营（推荐）等场景的算法策略；
和产品、运营、工程团队配合,进行强数据驱动、算法驱动策略研发，以高效达成业务目标；
应用数据挖掘、统计分析、机器学习、深度学习等相关技术，驱动业务核心指标增长。"
28603-微信支付大数据工程后台开发高级工程师（深圳）,WXG ," 深圳,中国 ", 技术 ,2021/10/2,"岗位特色：基于海量微信支付数据，搭建全流程实时推荐系统、金融风控系统及其他实时数据服务，面临高并发、低时延、海量数据存储等系统挑战；参与微信支付业务系统的协同开发；
岗位职责：
负责微信支付大数据相关的工程应用平台开发，负责微信支付相关系统的协同建设开发。"
WXG01-微信iOS基础功能开发工程师(广州),WXG ," 广州,中国 ", 技术 ,2021/10/2,"1、负责微信iOS相关需求的研发工作及新技术预研，包括群聊天相关的新功能开发、群协作能力等。
2、与产品设计同学沟通合作，开发完成流畅，稳定，体验良好的产品"
WXG01-微信终端开发工程师（深圳）,WXG ," 深圳,中国 ", 技术 ,2021/10/2,"1、负责微信客户端业务开发、维护、性能优化； 
2、参与Android、MAC、Linux平台终端产品开发。包括微信基础通信、直播、小程序引擎等相关微信功能开发。"
WXG08-微信自然语言处理算法工程师（北京）,WXG ," 北京,中国 ", 技术 ,2021/10/2,"负责针对特定场景的NLP技术落地工作，包括但不限于算法的设计、工程实现以及持续改进；
负责部分NLP基础技术的研究探索工作；
负责NLP前沿技术方向的追踪，并对组内的规划提出建议。"
TEG17-自然语言处理高级研究员（深圳/西雅图）【HR-TEG】,TEG ," 深圳,中国 ", 技术 ,2021/10/2,"负责跟踪业界最新研究成果，根据实际应用效果不断改进模型或算法；
负责将前沿NLP技术/成果应用于内容理解、生成、机器翻译、问答系统等相关场景中；
负责探索自然语言处理领域的前沿成果，结合未来实际应用场景，提供技术解决方案。"
TEG17-机器学习研究员,TEG ," 深圳,中国 ", 技术 ,2021/10/2,"岗位职责：
1、 负责机器学习（尤其是深度学习领域）的理论研究和算法、模型开发，包括但不限于：图学习、生成学习、迁移学习、强化学习和各种优化方法尝试； 
2、 负责机器学习方向前沿问题的探索与研究，结合未来实际应用场景，提供全面的技术解决方案。包括但不限于：AI+医疗，AI+药物，AI+安全，AI+农业，AI+能源等。"
TEG17-深度学习研发工程师（深圳/西雅图）,TEG ," 深圳,中国 ", 技术 ,2021/10/2,"该岗位为机器学习和人工智能方向。主要职责包括但不限于：
负责机器学习（尤其是深度学习领域）的理论研究和算法、模型开发，包括但不限于：神经网络模型设计，元学习，自动超参数优化，在线学习和各种优化方法尝试
对业界经典算法和模型进行分布式版本开发，实现加速，丰富公司内部的公用并行算法库
对机器学习尤其是深度学习、元学习等前沿问题进行探索与研究，结合未来实际应用场景，提供全面的技术解决方案
对计算机视觉、语音识别、自然语言处理等领域提供模型支持，进行创新研究和落地产品开发"
