资深算法经理(大数据方向),交银企业管理服务（上海）有限公司张江高科技园区分公司,上海-长宁区,4-5万/月,上海-长宁区|8-9年经验|本科|招1人,银行,10000人以上,国企,2021-10-29 15:33:09,https://jobs.51job.com/all/co4808559.html,https://jobs.51job.com/shanghai-cnq/136156744.html?s=sou_sou_soulb&t=0_0
大数据开发工程师（常熟）,申朴信息技术（上海）股份有限公司,常熟,1.5-2万/月,常熟|3-4年经验|大专|招3人,计算机软件,500-1000人,上市公司,2021-10-29 15:32:37,https://jobs.51job.com/all/co2644490.html,https://jobs.51job.com/changshu/136156666.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,上海良信电器股份有限公司,上海-浦东新区,2-2.8万/月,上海-浦东新区|2年经验|本科|招若干人,电气/电力/水利,1000-5000人,上市公司,2021-10-29 15:31:27,https://jobs.51job.com/all/co1122887.html,https://jobs.51job.com/shanghai-pdxq/136153862.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,上海焕兴网络科技有限公司,杭州-西湖区,2.5-3.6万/月,杭州-西湖区|3-4年经验|本科|招若干人,通信/电信/网络设备,50-150人,民营公司,2021-10-29 15:26:35,https://jobs.51job.com/all/co3843426.html,https://jobs.51job.com/hangzhou-xhq/135843341.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,苏州悦君信息科技有限公司,无锡-锡山区,1-1.5万/月,无锡-锡山区|3-4年经验|大专|招2人,计算机软件,,外资（欧美）,2021-10-29 14:44:19,https://jobs.51job.com/all/co6368970.html,https://jobs.51job.com/wuxi-xsq/136154376.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,重庆房客云集网络科技有限公司,重庆-渝北区,1.5-2万/月,重庆-渝北区|3-4年经验|大专|招1人,计算机服务(系统、数据服务、维修),50-150人,民营公司,2021-10-29 14:41:23,https://jobs.51job.com/all/co5956109.html,https://jobs.51job.com/chongqing-ybq/136154377.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,京北方信息技术股份有限公司,深圳-福田区,1.9-2.3万/月,深圳-福田区|5-7年经验|大专|招1人,外包服务,10000人以上,民营公司,2021-10-29 14:21:17,https://jobs.51job.com/all/co2347769.html,https://jobs.51job.com/shenzhen-ftq/136153545.html?s=sou_sou_soulb&t=0_0
大数据分析工程师,数字重庆信息技术服务有限公司,重庆-渝北区,1-1.5万/月,重庆-渝北区|3-4年经验|硕士|招1人,计算机软件,150-500人,国企,2021-10-29 12:45:15,https://jobs.51job.com/all/co6168265.html,https://jobs.51job.com/chongqing-ybq/126637894.html?s=sou_sou_soulb&t=0_0
大数据架构师,浙江爱才人力资源股份有限公司,杭州-西湖区,3-4.5万/月,杭州-西湖区|5-7年经验|本科|招1人,计算机软件,,民营公司,2021-10-29 11:42:57,https://jobs.51job.com/all/coCGhWN1YwVGNVNQViXT0.html,https://jobs.51job.com/hangzhou-xhq/136149683.html?s=sou_sou_soulb&t=0_0
大数据开发工程师（证券、基金方向）,上海罗盘信息科技有限公司,深圳-福田区,1-2万/月,深圳-福田区|3-4年经验|大专|招1人,计算机软件,150-500人,民营公司,2021-10-29 11:26:05,https://jobs.51job.com/all/co2231305.html,https://jobs.51job.com/shenzhen-ftq/106874243.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,广东新华发行集团股份有限公司,广州-天河区,20-25万/年,广州-天河区|5-7年经验|本科|招3人,影视/媒体/艺术/文化传播,1000-5000人,国企,2021-10-29 11:02:23,https://jobs.51job.com/all/co3092286.html,https://jobs.51job.com/guangzhou-thq/136138179.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,北京新联财通咨询有限公司,北京,1.5-2万/月,北京|3-4年经验|本科|招1人,专业服务(咨询、人力资源、财会),150-500人,民营公司,2021-10-29 10:59:38,https://jobs.51job.com/all/co3416780.html,https://jobs.51job.com/beijing/107878437.html?s=sou_sou_soulb&t=0_0
Java开发工程师（大数据方向）,广州市中南民航空管通信网络科技有限公司,广州,1.5-2万/月,广州|3-4年经验|招2人,通信/电信/网络设备,1000-5000人,事业单位,2021-10-29 10:56:30,https://jobs.51job.com/all/co2437553.html,https://jobs.51job.com/guangzhou/104489961.html?s=sou_sou_soulb&t=0_0
大数据后端开发工程师,安徽酷哇机器人有限公司,上海-徐汇区,2.5-3万/月,上海-徐汇区|3-4年经验|本科|招若干人,计算机软件,1000-5000人,民营公司,2021-10-29 10:53:06,https://jobs.51job.com/all/co3777344.html,https://jobs.51job.com/shanghai-xhq/136147150.html?s=sou_sou_soulb&t=0_0
